,Unnamed: 0,district,rooms,size,level,max_levels,price
121,121,Ittifoq,1,30.0,3,5,34500.0
122,122,Ittifoq,1,42.0,5,9,37000.0
123,123,Toshloq,3,70.0,2,4,70000.0
124,124,Шайхантахурский,3,68.0,2,4,45800.0
125,125,Ittifoq,1,30.0,4,4,24000.0
126,126,Bunyodkor,1,52.0,1,4,58000.0
127,127,Ittifoq,4,72.0,4,4,55500.0
128,128,Ittifoq,4,76.0,2,4,68000.0
129,129,Bunyodkor,2,48.0,4,4,31000.0
130,130,Ittifoq,2,66.0,3,9,47000.0
131,131,Ittifoq,3,60.0,3,5,47000.0
132,132,Ittifoq,2,37.0,1,4,41000.0
133,133,Zilol,1,40.0,3,4,24000.0
134,134,Do'stlik,2,61.0,1,4,55000.0
135,135,Ittifoq,1,32.0,2,4,28500.0
136,136,Ittifoq,3,65.0,4,4,42000.0
137,137,Bunyodkor,3,66.0,2,5,67000.0
138,138,Ittifoq,3,70.0,4,4,46500.0
139,139,Ittifoq,3,66.0,4,4,50500.0
140,140,Bunyodkor,3,65.0,1,4,40000.0
141,141,Uchtepa,1,37.0,5,8,13071.0
142,142,Zilol,2,69.65,4,9,45188.0
143,143,Bunyodkor,4,88.0,4,5,53000.0
144,144,Toshloq,1,38.0,2,5,25600.0
145,145,Olmazor,2,61.0,6,9,52000.0
146,146,Zilol,2,45.0,3,7,44000.0
147,147,Zargarlik,3,69.0,2,9,40000.0
148,148,Zilol,2,55.13,5,9,35226.0
149,149,Ittifoq,3,67.0,4,4,54000.0
150,150,Шайхантахурский,1,38.0,5,5,22500.0
151,151,Zilol,2,67.0,2,4,36500.0
152,152,Toshloq,2,54.0,4,9,40000.0
153,153,Ittifoq,2,58.0,1,9,35000.0
154,154,Olmazor,4,100.0,5,8,142000.0
155,155,Ittifoq,4,90.0,4,5,52000.0
156,156,Ulugʻbek,3,91.0,3,3,85000.0
157,157,Шайхантахурский,4,111.0,7,8,110000.0
158,158,Zargarlik,2,54.0,6,7,36000.0
159,159,Uchtepa,3,69.0,5,5,52000.0
160,160,Do'stlik,5,107.0,5,5,50000.0
161,161,Zilol,3,80.0,2,5,55000.0
